Names,ASPLOS,ATC,CCGRID,CCS,CIDR,CoNEXT,EuroPar,EuroSys,FAST,HCW,HotCloud,HotI,HotOS,HotStorage,HPCA,HPDC,ICAC,ICPE,IMC,ISC,ISCA,ISPASS,KDD,MASCOTS,MICRO,Middleware,MobiCom,NDSS,PLDI,PODC,PODS,PPoPP,SC,SIGCOMM,SIGIR,SIGMETRICS,SIGMOD,SLE,SOCC,SOSP,SP,SPAA,SYSTOR,VEE
ASPLOS,,0.892418809913,0.808567832706,0.715522840316,0.679339158813,0.672125911361,0.812743355216,0.878822843293,0.719336030949,0.664841404,0.742720959788,0.638568238629,0.819269172111,0.727269984978,0.883453745473,0.765256994537,0.700652620892,0.775981913998,0.578758309393,0.77540313835,0.915585350688,0.856299770219,0.596635415165,0.809702125194,0.908024642891,0.763099187696,0.654376804941,0.781194018881,0.74477978388,0.557059300105,0.490860557343,0.833616583651,0.843159526578,0.649656806021,0.494168277178,0.714217383826,0.728227697237,0.546799542381,0.814955885091,0.847990344458,0.725700033992,0.585518280473,0.742438876623,0.750443255061
ATC,,,0.832647447179,0.704351015388,0.718354084646,0.691637112655,0.783268846792,0.900016980353,0.825035056727,0.677374795597,0.766868280295,0.64409916503,0.850343470837,0.797161147702,0.812346031086,0.782458150457,0.708894372629,0.772008123718,0.598572336576,0.766142703289,0.836478341101,0.789878506719,0.588512474541,0.785994000559,0.825975571528,0.788157086545,0.675650708285,0.779236012393,0.681004297564,0.538989425198,0.483690058722,0.796478340817,0.855462493505,0.673330816212,0.494531737125,0.71145290862,0.740975536518,0.492709492648,0.868103624397,0.901981790345,0.720386145293,0.586045246887,0.774804826575,0.771892958515
CCGRID,,,,0.696383887662,0.725268592172,0.7031565993,0.850232219123,0.824153201808,0.687348417341,0.733096516694,0.831905256841,0.697268073243,0.79198276471,0.708104114983,0.751716293611,0.813561369618,0.817846925528,0.810356282094,0.6090312763,0.787065563716,0.757671987279,0.740424611974,0.686668528997,0.82856436212,0.755381709866,0.827502448945,0.683520677736,0.728666869528,0.646156967383,0.572573054498,0.527829681066,0.740179881901,0.845744942748,0.654307739756,0.577076671097,0.759871579743,0.754253483277,0.51684591165,0.878979374932,0.805373432873,0.723365528526,0.642191605171,0.744165026818,0.667087587438
CCS,,,,,0.632641880134,0.673593560858,0.644511511046,0.722288383083,0.559481073254,0.477740542445,0.634832377981,0.541600755343,0.713644113305,0.55057091705,0.633012697507,0.63578410183,0.598224867171,0.629651554646,0.684022677332,0.614243003649,0.658758166113,0.573144517332,0.667437159066,0.641894637661,0.665630552644,0.687225541203,0.665304455238,0.898292887873,0.734648784785,0.623728257021,0.636252700677,0.668770098559,0.723129948893,0.621290401577,0.617241941881,0.698435331703,0.742147711579,0.584851076063,0.714506620007,0.742809971966,0.927810448328,0.586249985196,0.567116806588,0.570761917506
CIDR,,,,,,0.558157635676,0.654562737697,0.726799269614,0.638200645027,0.519310045735,0.7016195298,0.49841408616,0.744904031916,0.655020779596,0.594854714748,0.735303266072,0.612215827616,0.660285441374,0.543952990889,0.638673702843,0.637096310152,0.569264335963,0.611043397845,0.598632241368,0.654883994652,0.687348977049,0.57648422917,0.634631227989,0.617817787746,0.460928540552,0.585155736324,0.64531891129,0.729853806173,0.536290334885,0.594374430417,0.591247730916,0.828292177497,0.484075695388,0.8090870926,0.755457382345,0.673464677962,0.509660050182,0.651004865078,0.509057665323
CoNEXT,,,,,,,0.63644139426,0.690734014169,0.549050191467,0.500155214252,0.65536997944,0.678660794701,0.616925691187,0.539917727111,0.66627235314,0.649692511938,0.638200247991,0.649849624276,0.699706512531,0.608353440154,0.63524555068,0.580478990399,0.614141826331,0.663595829695,0.642890745014,0.671791686924,0.792216085927,0.695979281099,0.553574895716,0.541477573054,0.468344741779,0.586825899073,0.707479332573,0.798333346518,0.499989803983,0.668986018265,0.647964164202,0.425220399544,0.704411866967,0.682390956,0.67732574328,0.56688391414,0.600482396551,0.501269379811
EuroPar,,,,,,,,0.792775195151,0.612795565,0.717097461939,0.720269926499,0.677449487055,0.712600635464,0.606255863479,0.746310073131,0.790472061156,0.726585791708,0.755464395551,0.530414637159,0.849483756785,0.771658398523,0.770953290654,0.705559192201,0.761818201776,0.772883332616,0.764728036194,0.609734702244,0.661198528915,0.704342310115,0.629398514543,0.581920184231,0.827837398281,0.853368225355,0.582363962792,0.546578080517,0.717613458304,0.786436004093,0.531937363588,0.802080795987,0.724312055693,0.648176158914,0.71011877561,0.668058501714,0.60340754942
EuroSys,,,,,,,,,0.763855224766,0.643577397733,0.774627827603,0.653309431127,0.825750085253,0.742857207834,0.777760055079,0.782442352494,0.701231833381,0.773199292077,0.613313170825,0.755854081101,0.804249169956,0.761049244571,0.586762144759,0.769054126539,0.798653110193,0.78103873474,0.664245292885,0.777707644166,0.709079841013,0.574884127223,0.518196534882,0.80582421553,0.832287425764,0.677151970796,0.496997833845,0.706147959219,0.74951316293,0.506339284205,0.848032669435,0.873272154701,0.740544410027,0.598453346635,0.754608685291,0.714920440066
FAST,,,,,,,,,,0.565668556397,0.629260695312,0.500609892103,0.723879549196,0.845718244766,0.664980264001,0.653311383796,0.562597789205,0.637771414233,0.472411868702,0.627941092152,0.650074656846,0.617554006274,0.454335760492,0.63709191936,0.653681746154,0.639528696799,0.545963492554,0.600468168276,0.516353699341,0.447662455766,0.385673327601,0.629723738941,0.729773597739,0.507721338552,0.384728495845,0.582697977247,0.624787861375,0.378827351042,0.748586725162,0.799398605594,0.574593141495,0.467772314216,0.687002171733,0.594863236732
HCW,,,,,,,,,,,0.630226385747,0.499791419365,0.64849084545,0.568201487563,0.618664208762,0.641940029972,0.61879124223,0.62693770729,0.40660842945,0.616643269537,0.627739666712,0.635209708314,0.483049421174,0.622832143837,0.640621230744,0.624165068104,0.506799840686,0.51150090505,0.495877702456,0.380410767366,0.35406059046,0.632671498862,0.675209492419,0.465431655884,0.398591662186,0.563787438198,0.547959689579,0.367987269221,0.681268125339,0.632071761036,0.497486127745,0.49096892324,0.634532012289,0.519847846709
